Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2025-12-18,"Lectures are very theory-focused, while most of the learning comes from coding-heavy homework. Attendance counts for 2% of the grade, so might as well not show up. The slides are clear, though lectures are boring. Homework can be time-consuming but manageable, and grading is fairly generous. With extra credit, earning an A is easy.",2.0,2.0,"EXTRA CREDIT, Graded by few things, Accessible outside class",CSC546,True,mandatory,A,-1,0,0
2025-12-02,Grading based on 5 projects so thats nice. His lectures are hard to follow since he reads from his slides. ,2.0,1.0,,CSC546,True,mandatory,Not sure yet,-1,0,0
2024-12-04,Professor Liang is extremely accessible and passionate about ML. The topics are difficult but he makes the content manageable and helps when you are confused on assignments. He truly cares and wants students to succeed and is a very decent lecturer compared to many professors. He also has class on zoom which was very helpful for me when I was sick.,5.0,3.0,"Lots of homework, Lecture heavy, Accessible outside class",CSC546,True,mandatory,Not sure yet,-1,0,0
2024-11-01,Good professor cares a lot about students extends deadlines alot and responds quick to emails and will answer any questions. Class is very easy if you have taken another CSC class here. No tests just homeworks that are all pretty easy. Lectures are a little boring but you can attend on zoom or in person and he posts the recordings. would take again,5.0,2.0,"Caring, Accessible outside class",CSC315,True,non mandatory,A,-1,0,0
2023-12-19,"He is a kind and nice person. Gives very generous extensions for the homework.Easy grader. Machine learning is a hard subject, impossible to do in 3 months in a lecture mode settings so be prepared to do a lot of self-study. ",5.0,1.0,Accessible outside class,CSC546,True,mandatory,A,3,0,0
2023-12-18,"He cares about teaching and readily clears up confusions after class. Lectures are boring and the materials are tough but the HWs are doable and he's always responsive with emails. No exams, just HWs so just do them and get feedback from him if you get stuck. Attendance counts but Zoom online class allowed with recordings, HWs have extra credits.  ",4.0,3.0,"Gives good feedback, Caring",CSC546,True,mandatory,A,-1,0,0
2023-12-04,"Yeah, he is boring and monotone. But the material isnt the hardest. 35% of the grade is Zybooks (completion hw) and 5% is attendance, where you can miss up to 3 lectures per calendar month without penalty. projects can be interesting and aren't the hardest. ",2.0,1.0,,CSC315,True,mandatory,A,-1,0,0
2023-11-14,It is week 12 of the semester and we do not have a single grade on blackboard. He has not communicated our first project grade even though we submitted it a month ago and it is 20% of our grade. It is very hard to focus during his lectures because he is so boring. Not very helpful with questions.,1.0,3.0,"Lecture heavy, Graded by few things",CSC315,True,mandatory,Not sure yet,-1,0,0
2023-11-01,"I would not recommend Liang for 315. He is very monotone and hard to understand during his lectures. In addition, he does not teach you to code, but rather codes in front of you and goes through slides fast. Each day is a new python package and he makes the introduction class very difficult to follow. No grades are put in at a timely manner.",1.0,5.0,"Lecture heavy, Graded by few things",CSC315,True,mandatory,Not sure yet,-1,0,0
2023-04-04,Easy grader and helped a lot on assignments if you went to him.,5.0,1.0,,CSC546,True,non mandatory,A,-1,0,0
