Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2026-01-29,"Class is split between two professors, both aren't great, focusing on his half, no grading criteria or feedback. What he teaches your honestly better off watching a few YouTube videos. Tries to be creative with work but falls short, more frustrating than fun.",2.0,3.0,Respected,EGN123,True,mandatory,B,-1,0,0
2025-12-19,"Lokesh is kind and approachable with a relaxed teaching style. We did case studies, zyBooks labs, and projects that covered the basics. I would've liked more hands-on, practical activities to make it feel more engaging. Overall, an easy and organized intro course.",4.0,1.0,"Group projects, Amazing lectures, Caring",ECE376,True,mandatory,A+,-1,1,0
2025-12-03,Lectures are a little random but very easy intro level class,5.0,1.0,"Hilarious, Caring, Respected",EGN123,True,mandatory,A,3,0,0
2025-10-07,"Great guy, very respected and cares for his students.",5.0,1.0,"Caring, Respected",EGN123,True,mandatory,A,-1,0,0
2025-05-27,"Lokesh is an AMAZING professor! He offers so many opportunities for extra credit, and his exams aren't hard at all especially if you study. I know that he has a lot on his plate to balance, but he always takes the time to get to know his students and his lectures are very easy to understand. He also does Kahoots for class sometimes.",5.0,1.0,"Participation matters, EXTRA CREDIT, Amazing lectures",ECE368,True,non mandatory,A,-1,1,0
2025-05-06,Lokesh is great.,5.0,2.0,,ITD320,True,mandatory,A,-1,1,0
2025-04-17,One of the nicest people in the entire engineering department. He wants you to succeed but what is holding him back is his ability to actually lecture and take advantage of the time he has to teach. Tests are super easy unlike his counterpart Stephan Murrell who is an actual menace and should be banned from teaching. Overall take his class he great,4.0,2.0,"Lots of homework, Caring, Respected",ECE118,True,mandatory,A,-1,1,0
2024-12-19,"Professor Lokesh cares a lot about his students and makes sure no one is failing his class. He gives a lot of grade incentives so that no one fails and is always here to help his students. He gives practice exams before the actual exams to help practice for the exams, but the questions are not the same. There are labs due weekly and some are tough.",5.0,2.0,"EXTRA CREDIT, Amazing lectures, Caring",ECE118,True,mandatory,B+,-1,0,0
2024-12-04,I learned so much and work was very manageable. All around amazing class and I was able to apply skills I learned to the real world which is awesome. Lokesh is a very good lecturer and will explain confusing topics in simple terms.,5.0,1.0,,CSC431,True,mandatory,Not sure yet,-1,0,0
2024-07-17,He is so good,5.0,1.0,"Group projects, Caring, Respected",EGN123,True,mandatory,A+,-1,1,0
2024-07-17,Funny class.  I look forward to it every day. He cares about his students and his tests aren't hard.,5.0,2.0,"Amazing lectures, Hilarious, Online Savvy",EGN123,True,mandatory,A,3,1,0
